CONCEPTO,NIVEL,ESTILO,A_MOSTRAR,SEC_VIDEOS,SEC_EJER,EJER_VALIDO
division,medio,visual,M84,M84,E4_E66,E66
division,medio,visual,M75,M75_M84_M88,E4_E35_E66_E128,E35
suma,bajo,visual,M12,M2_M8_M10_M12_M16,E1_E63_E93_E94_E124_E155,E93
division,bajo,visual,M67,M67,E4_E97,E4
suma,bajo,visual,M17,M2_M8_M10_M12_M16_M17,E1_E31_E62_E93_E94_E124_E155,E93
suma,medio,visual,M26,M19_M20_M26_M35_M36,E1_E62_E63_E93_E125_E155,E62
potencia,bajo,visual,M122,M110_M122,E16_E47_E109,E16
suma,bajo,visual,M16,M8_M16,E62_E106_E124_E155,E124
division,bajo,visual,M67,M67,E74_E105,E74
division,alto,visual,M104,M97_M104,E30_E82_E144,E30
division,medio,visual,M75,M75_M84_M88_M97_M104,E30_E61_E82_E92_E123_E144_E154,E92
division,medio,visual,M75,M75_M84_M88,E29_E60_E91_E122,E122
potencia,bajo,visual,M110,M110,E20_E110_E117_E148,E117
potencia,bajo,visual,M122,M110_M122,E51_E80_E113_E144,E80
potencia,bajo,visual,M123,M110_M122_M123,E28_E48_E59_E90_E121_E152,E121
division,bajo,visual,M63,M63_M67,E92_E123_E154,E154
division,medio,visual,M75,M75_M84_M88,E61_E75_E76_E107,E107
suma,bajo,visual,M10,M2_M8_M10_M16,E5_E13_E44_E67_E129_E137,E137
division,bajo,visual,M67,M67,E29_E122_E153,E29
suma,bajo,visual,M16,M8_M16,E52_E108_E145,E108
suma,bajo,visual,M2,M2_M8_M16,E15_E46_E62_E108_E124_E155,E46
suma,bajo,visual,M8,M8,E13_E44_E52_E75_E106_E137,E52
division,bajo,visual,M58,M58_M63_M67,E29_E83_E91_E122_E153,E83
suma,bajo,visual,M10,M2_M8_M10_M16,E7_E38_E69_E100_E131,E7
division,bajo,visual,M58,M58_M63_M67,E23_E46_E85_E108,E23
suma,bajo,visual,M16,M8_M16,E50_E112_E143,E143
potencia,bajo,visual,M110,M110,E87_E118,E87
potencia,bajo,visual,M122,M110_M122,E58_E87_E89_E118_E120_E151,E120
potencia,bajo,visual,M116,M109_M110_M116_M119_M122_M123,E20_E51_E55_E82_E113_E144_E148,E113
potencia,bajo,visual,M122,M110_M122,E30_E88_E123,E123
potencia,bajo,visual,M119,M110_M119_M122_M123,E18_E53_E80_E111_E115_E142,E53
potencia,bajo,visual,M110,M110,E24_E148,E24
